Аманкулов Марат Аскерович,0312 63-88-28,"Өмүрбаяны
 1970-жылдын 24-мартында Ысык-Көл облусунун Жети-Өгүз районунда туулган.
Жогорку билимдүү. 2004-жылы Ж. Баласагын атындагы Кыргыз мамлекеттик улуттук университетин “юриспруденция” адистиги боюнча бүтүргөн.
1990-жылы экспортко багытталган жеңил өнөр жай продукциясын өндүрүү ишмердиги менен алектенген.
2008-жылы №3 Гагарин шайлоо округу боюнча Бишкек шаардык кеңешине депутат болуп шайланган. 2009-жылы Бишкек шаардык кеңештин бюджет жана финансы боюнча туруктуу комиссиянын төрагасы болгон. 2011-жылдын 29-мартында Бишкек шаардык кеңештин төрагасы болуп шайланган.
2011-жылдын декабрында Кыргыз РеспубликасынынӨкмөтүнө караштуу Мамлекеттик мүлктү башкаруу фондунун төрагасы болуп дайындалган.
2012-жылдын ноябрында Кыргызстан социал-демократиялык партиясынан Бишкек шаардык кеңештин депутаты  болуп шайланган.
2012-жылы 28-ноябрда Бишкек шаардык кеңештин төрагасы болуп шайланган.
2015-жылдын 4–октябрында Кыргызстан социал-демократиялык партиясынын тизмеси боюнча VI чакырылыштагы Кыргыз Республикасынын Жогорку Кенешинин депутаты болуп шайланган.
Үй-бүлөлүү, төрт баланын атасы.
Муниципалдык кызматтын  1- класстагы кеңешчиси.
Кыргыз Республикасынын Муниципалдык кызматынын отличниги.
 “Бишкек шаары үчүн жасаган зор эмгеги үчүн” медалы, Бишкек шаарынын Ардак грамотасы, “Мустафа Кемаль Ататүрк” атындагы илим жана маданияттын эл аралык кайрымдуулук фондусунун Ардак  грамотасы жана алтын медалы менен сыйланып, “XXI кылымдын меценаты жана жылдын мыкты ишкери» наамы ыйгарылган."
Алимбеков Нурбек Каарыевич,0312 63-91-46,"Өмүрбаяны
 1975-жылдын 13-мартында Ош облусунун Кара-Суу районундагы Папан айылында туулган.
Жогорку билимдүү. 1997-жылы Ош технологиялык университетинин «инженер-технолог» адистигин, 2000-жылы Ош технологиялык университетинин юридика факультетин, 2007-жылы Ж.Баласагын атындагы Кыргыз улуттук университетинин финансы жана кредит факультетин, 2012-жылы Кыргыз Республикасынын Президентинин алдындагы Башкаруу академиясын бүтүргөн.
Эмгек жолун 2003-2005-жылдары «Алимбеков» биргелешкен ишканасынын директорлугунан баштаган.
2005-2006-жылдары Кыргыз Республикасынын Каржы министрлигинин жетектөөчү адиси болуп иштеген.
2008-2010-жылдары жоопкерчилиги чектелген «Папан Курулуш» ишканасынын директору болуп эмгектенген.
2008-2010-жж. - Бишкек шаардык кеңешинин депутаты, Свердлов райондук аймактык депутаттык топтун жетекчиси болгон.
2010-жылы «Республика» партиясынын тизмеси менен V чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган. Жогорку Кеӊештин Транспорт, коммуникациялар, архитектура жана курулуш боюнча комитетинин төрагасынын орун басарыболгон.
2015-жылдын 4-октябрында “Кыргызстан” саясий партиясынан VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.
2015-жылдын 6-ноябрында Кыргыз Республикасынын Жогорку Кеңешинин Төрагасынын орун басары кызмат ордуна шайланган.
Үй-бүлөлүү, 5 баланын атасы"
Акаев  Жанарбек Кубанычович,63-85-87,"Өмүрбаяны
 1986-жылдын 13-декабрында Ош облусунун Алай районуна караштуу Кабылан-Көл айылында төрөлгөн.
Билими жогорку. 2011-жылы Ош мамлекеттик университетин журналистика адистиги боюнча бүтүргөн.
2008-2014-жылдары “Азаттык” радиосунун кыргыз кызматында эмгектенген.
2015-жылы Кыргыз Республикасынын Президентинин пресс-катчысы.
2015-жылдын 4-октябрында Кыргызстан социал-демократиялык партиясынын тизмеси боюнча VI чакырылыштагы Жогорку Кеңештин депутаты болуп шайланган. Жогорку Кеңештин Социалдык маселелер, билим берүү, илим, маданият жана саламаттык сактоо боюнча комитетинин мүчөсү.
2015-2017-жж. - Жогорку Кеңештин Социалдык маселелер, билим берүү, илим, маданият жана саламаттык сактоо боюнча комитетинин Төрагасынын орун басары болуп иштеген.
Үй-бүлөлүү. Учурда эки уулду тарбиялоодо.
2011-ж. “Евразиянын алтын калеми” сыйлыгынын ээси.
2014-ж. Мелис Эшимканов атындагы коомдук фонддун “Курч калем” сыйлыгын алган."
Абжалиев Алиярбек Токобекович,0312 63-88-14,"Өмүрбаяны
 1967-жылдын 5 ноябрда Ош шаарынын «Жапалак» айыл аймагында туулган.
1991-жылы Кыргыз мамлекеттик университетинин экономика жана материалдык жабдууну үнөмдөө жана пландаштыруу адистиги боюнча аяктаган.
1996-жылы Кыргыз мамлекеттик университетинин юриспруденция адистиги боюнча аяктаган.
2005-2007 жылдары Кыргыз Республикасынын Тышкы иштер министрлигинин дипломатиялык академиясынын эл аралык мамилелер адистиги боюнча толук курсту бүтүрдү.
Эмгек жолун 1992-жылы Ош областынын «Кенеш» совхозунун бухгалтери болуп баштаган. 
1992-1993-жылдары Ош шаарынын «Арча» атындагы соода тармагынын экономисти.
1993-2000-жылдары Ош областынын бириккен бажысынын «Иркештам» постунда башкы инспектору, начальниктин орун басары, начальниги.
2000-2004-жылдары Баткен областынын бажысынын начальнигинин орун басары, начальниги;
2004-2005-жылдары «Манас» аэропорт бажысынын начальниги;
2005-2007-жылдары Кыргыз Республикасынын Жогорку Кенешинин депутаты;
2008-2012-жылдары Кыргыз Республикасынын өкмөтүнө караштуу монополияга каршы жөнгө салуу мамлекеттик агенттигинин статс-катчысы.
2015-жылдан бери Кыргыз Республикасынын Жогорку Кенешинин VI –созывынын депутаты.
4 баланын атасы."
Айнакулов Мухтарбек Айнакулович,0312 63-85-45,"Өмүрбаяны
 1957-жылдын 13-ноябрында Чүй облусунун Жайыл районундагы Сосновка айылында туулган.
Жогорку билимдүү. 1977-1981 жылдары Москва шаарындагы С. А. Герасимов атындагы Бүткүл россиялык мамлекеттик кинематография институтунда (ВГИК) окуган. 1983-жылдары Москвадагы А. В. Луначарский атындагы Россия театралдык искусство институтун (ГИТИС) «актер, режиссер» адистиги боюнча бүтүргөн.
Эмгек жолун 1983-жылы Ысык-Көл облусунун Пржевальск  шаарындагы К. Жантошев атындагы Ысык-Көл драмалык театырында режиссер, актер болуп иштөө менен баштаган.
2007-2011-жыжлдары Бишкек шаарында «Бишкек-Фильм» студиясында режиссер;
2012-2014-жылдары «Бишкек» эркин экономикалык аймагындагы (ЭЭА) «Сакчы»ишканасынын директорун орун басары.
2014-2015 жылдары «Бишкек» ЭЭАдагы «Сервис» ишканасында жетектөөчү адис болуп иштеген.
2015-жылдын 4-октябрында Кыргызстан Социал-демократиялык партиясынын тизмеси боюнча VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.
Эки баланын атасы."
Артыков Анвар Артыкович,0312 63-87-35,"Өмүрбаяны
 1951-жылы Ош облусунун Ош шаарында туулган.
Билими жогорку. 1977-жылы Андижандагы (Өзбекстан) пахтачылык институтун “инженер- механик” адистиги боюнча бүтүргөн. 1989-1991-жылдары КПСС БКнын алдындагы Коомдук илимдер академиясынын угуучусу.
Эмгек жолун 1966-жылы Кыргыз ССРинин Туракжай-коммуналдык чарба министрлигинин Оштогу кеңсесинде мехсантазалоочу жумушчу болуп иштөө менен баштаган.
1979-1981-жылдары Оштогу автобазада башкы инженер болуп иштеген. 1981-жылдан Ош регионалдык борборунда КАМАЗ автомашиналарын тейлөө жана запастык бөлүктөр менен камсыз кылуу боюнча директор, андан соң партиянын Жалал-Абад обкомунун экинчи катчысы, Кыргызстан компартиясынын борбордук комитетинин иш башкаруучусу кывзматтарын аркалаган. 1990-2000-жылдары Кыргыз ССРинин Жогорку Советинин депутаты, Кыргыз Республикасынын Жогорку Кеңешинин депутаты болгон.
2004-2005-жылдары Бүткүл дүйнөлүк банктын энергетика тармагы боюнча долбоорунун директору болгон. 2005-жылы Ош облусунун эл депутаттар кеңешинин төрагасы болуп шайланган. 2005-жылы Ош облусунун облусттук акиминин – губернаторунун милдетин аткарган.
2010-жылдын ноябрында “Ар-Намыс” саясий партиясынын тизмеси боюнча V чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутат болуп шайланган.
2015-жылдын 4-октябрында Кыргызстан социал-демкратиялык партиясынын тизмеси боюнча VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.
КР эмгек сиңирген экономисти."
Алтыбаева Айнуру Тойчиевна,0312 63-86-16,"Өмүрбаяны
 1958-жылдын 28-февралында Ош шаарында туулган.
Жогорку билимдүү. 1979-жылы Кыргыз мамлекеттик университетин экономист адистиги боюнча бүтүргөн, 1998-жылы Кыргыз мамлекеттик университетинин Юридикалык факультетин аяктаган.
1979-1997-жылдары Ош облустук аткаруу комитетинде ар кандай кызматтарда иштеген.
1997-2006-жылдары  Кыргыз Республикасынын Мамлекеттик салык кызматынын  бөлүмдөрүндө иштеген.
2007-2008-жылдары  Кыргыз Республикасынын  Социалдык фондунун төрагасынын кеңешчиси, Социалдык фондунун Свердлов районунун башчысынын орунбасары;
2008-2010-жылдары Кыргыз Республикасынын Жогорку Кеңешинде консультант;
2010-жылы «Аялдар кенеши» коомдук бирикмесинин жана «Биримдик» демократиялык партиясынын төрайымы;
2010-жылдын октябрь айында «Ар-Намыс» саясий партиясынын тизмеси боюнча V чакырылыштагы Кыргыз Республикасынын Жогорку Кенешинин депутаты болуп шайланган. 2012-жылдын ноябрь айында Жогорку Кеңештин регламенти жана депутаттык этика боюнча комитетинин төрайымы болгон.
2015-жылдын 4-октябрында КСДП саясий партиясынын тизмеси боюнча VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.
Үй бүлөлүү, эки балалуу.
Мамлекеттик кызматынын 3-класстагы мамлекеттик кеңешчиси;
Кыргыз Республикасынын мамлекеттик кызматынын отличниги;
Кыргыз Республикасынын финансы-экономикалык иштеринин отличниги;
Кыргыз Республикасынын Жогорку Кеңешинин Ардак грамотасы, КМШ ПААнын Ардак грамотасы менен сыйланган.
«КР мамлекеттик кызматынын эмгек сиңирген ишмери»
 «Акыйкат», «Мээримдүүлүк», «Датка айым» медалдарынын ээси."
Акматов Алмазбек Жумабекович,0312 63-88-21,"Өмүрбаяны
 1964-жылдын 18-октябрында Нарын областында туулган.
Жогорку билимдүү. 1986-жылы Новосибирcктеги жогорку аскердик-саясый окуу жайын, 2002-жылы Кыргыз Республикасынын Президентинин алдындагы магистратурасын «Менеджмент» багыты боюнча ийгиликтүү аяктаган. 2008-жылы Кыргыз Республикасынын Тышкы иштер министрлигинин Дипломатиялык академиясынын «Эл аралык мамилелер» адистигин аяктаган. 2011-жылы Ж.Баласагын атындагы Кыргыз мамлекеттик университетин «Финансы жана кредит» адистиги боюнча «Экономист» квалификациясы ыйгарылган.
Эмгек жолун 1986–1991-жылдары СССРдин коргоо министрлигинде аскердик-саясий кызматтарда иштеп баштаган.
199-2001-жылдары биргелешкен «Торугарт-Транзит» кыргыз-кытай ЖЧКсынын башчысы.
2001-2002-жылдары Мергенчилик ресурстарды көзөмөлдөө жана коргоо башкы башкармалыгынын (Главохота) башчысы.
2002-2004-жылдары Кыргыз Республикасынын Президентинин башкармалыгынын башчысынын орун басары.
2004-жылы Республикалык жаратылышты коргоо фондунун башчысы. 2005–2006-жылдары Кыргыз Республиканын Президентинин башкармалыгынын башчысы.
2007-2012-жылдары Кыргыз Республикасынын Эсептөө палатасынын Бишкек, Чуй жана Талас областтары боюнча аймактык бөлүмүнүн жетекчиси.
2015-жылдын 4-октябрында VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.
VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин Агрардык саясат, суу ресурстары, экология жана региондук өнүгүү боюнча комитетинин төрагасынын орун басары.
Үй-бүлөлүү, 5 баланын атасы."
Абдылдаев Мыктыбек Юсупович,0312 63-86-39,"Өмүрбаяны
 1953-жылы Чүй областынын Аламүдүн районундагы Кара-Жыгач айылында туулган.
Жогорку билимдүү. 1976-жылы Кыргыз мамлекеттик университетининфилология факультетин, 1989-жылы Москва шаарындагы СССР ИИМ башкаруу академиясын бүтүргөн.
Эмгек жолун 1970-жылы Фрунзе шаарындагы Ленин атындагы заводдун токарлыгынан баштаган.
1971-1976-жылдары Кыргыз мамлекеттик университетинин студенти.
1976–1981-жылдары – Фрунзедеги Советтик соода техникумунун комсомол комитетинин катчысы, Кыргызстан ЛКЖС БКнын методисти, инструктору, уюштуруу бөлүмүнүн башчысы.
1982–1983-жылдары – Кыргызстан комсомолунун Ысык-Көл обкомунун катчысы. 1983-жылдын декабрынан 1986-жылдын августуна чейин – Ысык-Көл облаткомдун ИИБ саясий бөлүмүнүн начальниги. 1986-жылдын августунан 1989-жылга чейин СССР ИИМ Башкаруу академиясында (күндүзгү бөлүмүндө) окуган.
1989-жылы Ысык-Көл облустук ИИБ начальнигинин орун басарлыгына дайындалган.
1990-жылдын февралында Кыргыз Республикасынын Жогорку Советинин депутаттыгына шайланып, парламенттин туруктуу комиссиянын төрагасынын орун басары болуп иштеген.
1991-жылдын ноябрынан тартып 1994-жылдын ноябрына чейин – Ысык-Көл областынын ИИБ начальниги.
1994-жылдын ноябрынан тартып 2001-жылдын январына чейин – Кыргыз Республикасынын Ички иштер министринин орун басары, биринчи орун басары.
2001-жылдын февралында Кыргыз Республикасынын Коопсуздук кеңешинин катчысынын орун басарлыгына жана ошол эле учурда Кыргыз Республикасынын Президентине караштуу Эл аралык стратегиялык изилдөөлөр институтунун директорлугуна дайындалган.
2002-жылдын январында Кыргыз Республикасынын Президентинин Администрациясынын Коргоо жана коопсуздук иштери боюнча бөлүмүнүн башчылыгына дайындалган.
2002–2005-жылдары – Кыргыз Республикасынын Башкы прокурору.
2005-жылы Кыргыз Республикасынын Ички иштер министринин милдетин аткаруучу болуп дайындалган.
2006-жылдын майынан 2007-жылдын майына чейин – Кыргыз Республикасынын Президентинин Администрациясынын жетекчиси.
2010-жылдын октябрында «Ата-Журт» саясий партиясынын тизмеси боюнча V чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган. 
2015-жылдын 4-октябрында ""Бир Бол"" саясый партиясынын тизмеси боюнча VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.
Юридика илимдеринин кандидаты. Мамлекеттик кызматтын I класстагы мамлекеттик кеңешчиси. Милициянын генерал-лейтенанты. Кыргыз Республикасынын эмгек сиңирген юристи. I даражадагы «Аскердик кызматы үчүн» медалы, КМШ Парламенттер аралык Ассамблеясынын «Содружество» ордени менен сыйланган. 
Үй-бүлөлүү, эки баланын атасы."
Айдаров Салайдин Абдираевич,0312 63-85-50,"Өмүрбаяны
 Айдаров Салайдин Абдираевич 1969- жылдын 17-июлунда Ош облусунун Алай районунун Гүлчө айылында туулган.
Жогорку билимдүү. 1992- жылы Бишкек шаарынын К. И. Скрябин атындагы айыл-чарба институтун «окумуштуу аграном» кесиби боюнча аяктаган. 1996- жылы Кыргыз мамлекеттик улуттук университетинин «экономист-менеджер» деген кесибине ээ болгон.
1988-1989 -жылдары Советтик армиясынын катарында кызмат өтөгөн.
1994-2004- жылдары Мамлекеттик бажы кызматында ар кандай кызмат орундарын аркалагап келген.
2009-2010- жылдары Финансылык чалгындоо мамлекеттик кызматында тораганын биринчи орун басары болуп иштеген.
2009- жылы Мамлекеттик бажы кызматына көп жыл эмгек өтөгөнүнө байланыштуу кызмат ордунан бошотулган.
Үй-бүлөлүү, 3 кыз жана 2 уулдун атасы.
2007- жылы Кыргыз Ресубликасынын бажы кызматынын атайын генерал-майор наамын алган.
2015-жылдын 4-октябрында “Кыргызстан” саясый партиясынын тизмеси боюнча VIчакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган."
